UID,growth_stage,label_quality
nwuCTQKz,4,2
NVGUOzWu,1,1
1IYVvHwA,1,1
8OEdWwmU,1,1
oc5iO04j,1,1
A60rOyP9,1,1
TnVJ3pgC,6,1
sYLqmiXV,3,2
Q5iyu8IP,7,1
s2X0it4L,1,1
rDP2EuQN,7,2
q2YFLkXP,7,1
kFs1GZ2y,1,1
L3KZoVIQ,1,1
28iakQGv,4,1
ThrKBHyo,7,1
Th7bPUyN,7,1
dMTbnE8V,2,2
va1s7xLd,6,1
CYAEQbSq,1,1
0ERh1qcz,7,1
HQWkZRNB,2,2
zyHtbid2,2,1
5MKR6I1p,5,1
SVmF1sLv,1,1
gvFe1jqt,7,1
1eydPLhb,6,1
KRa560WZ,7,2
MNeZ4qdp,7,1
a9WMTf7i,7,1
EM8jAJdg,4,2
EX327SAh,4,1
Zk0xtlLM,7,1
v4HqIyDh,1,1
3hQnHxzU,4,2
lhyj80Bc,1,1
O3jACqdk,4,2
gZzCGaWc,7,1
Oakt07DA,1,1
WfpQhns4,4,2
ePrF9SkH,1,1
63KFPLaO,1,1
EiGOaVe2,2,2
562Z7CuJ,7,1
DGkuVipg,1,1
YpA84QjR,2,2
Ttk4zFY3,7,1
3lp2Tzui,2,1
TnWt8fpA,4,1
juR0JhfE,2,2
XIcUND17,4,1
0PGMQ6yk,3,2
4WxM2OzA,1,1
UDcGnlNu,4,2
yuzpLgSR,2,1
XiBuMfVz,3,2
ZG0zbiIM,7,1
rvwH6Z1j,4,2
zPiGeouI,2,1
5nCmJgPX,5,1
xlipA4EV,2,1
Wp1UhR5C,1,1
bpu0EvO4,1,1
pEvfHxS6,7,1
osABKieH,7,2
ucedoaVx,5,1
AeQsZ7f8,1,1
1ojRm5kF,4,2
cbq7uGJ4,1,1
ty4TH3PJ,7,1
ecqBl8k5,2,1
MPRO90mV,3,2
jWqFwA35,5,1
0KSdJEC8,1,1
x0eEIy8M,6,1
rPXgIlGT,5,1
2Vd1H4pX,4,2
bM5Q6OZJ,5,1
ubN64jDf,3,2
V7zUDrli,1,1
rPIDQEJM,4,1
AULutPi2,2,1
nTS6O4vz,7,1
gUCxc3Xn,1,1
glktN1JI,7,1
bWNrfRFY,4,1
wCOrmNnW,1,1
CwVd90ak,5,2
SWDGf1dX,1,1
kVBcRuH1,7,1
VN2gTKqo,5,1
qK9NI0U5,7,2
D3PWELkF,3,2
ach7Yb0V,1,1
4RNBDiuG,6,1
YeuxNfZR,1,1
01B4CV3K,2,2
mrcDbsyu,5,1
x9Jh6tZo,2,1
1g4wYxrm,4,2
IT7j5uQ8,5,2
dobIlN04,7,1
k1vidtMw,1,1
oywjCv8m,5,1
cGHYQfhJ,2,2
gwKvCGFO,1,1
UXwYJ1VZ,4,2
A69r5MNL,1,1
KgYlUWce,1,1
wdAEX1FT,5,1
7xp4sR5g,7,1
a7hzU5mk,2,1
7AgGRDlr,4,2
zBhUcimW,4,2
eMypOJiR,3,2
M3DHpJlY,4,1
etK4fMXW,7,1
P2rvDbBF,1,1
56PGVnvj,1,1
efJsZlb7,6,1
CIETeo3t,1,1
jMBQutEf,6,1
uMamCr2K,1,1
TkXIcwZd,7,2
ARLaI4Vf,7,1
cKeLawpD,1,1
SUO9wole,2,1
xJjARXNY,1,1
WUMAyFvi,7,2
zfJpGQCg,4,1
SJywBGXL,5,1
Y4JaZSIT,2,1
Jolh4QmF,1,1
zLjPNv5V,1,1
p3o6Gt4i,7,1
H1zAGhoC,1,1
VxpWBcqr,4,2
es0wyxzR,7,1
9EWJp1vr,7,1
J9DkjBq5,2,1
Hbiz8Orq,4,1
hg0C4pxi,1,1
mXDJzrya,1,1
sTGtcZk6,6,1
c6CpI2sT,1,1
pv4KyxhR,6,1
YT7b1ERM,7,1
afmhA7rG,6,1
HuwkY24D,5,1
9sdBmYDC,2,1
46T5GAwl,2,1
2aR4t3SC,7,1
DoIwAHP3,7,1
4MiGjDrs,6,1
AUvPsXro,5,1
91NGfAKe,4,2
AZ9QfLSj,1,1
7k6cjFqQ,1,1
dSAjoTG3,5,1
tnDLTGwr,7,1
7rpoeIyV,1,1
kfn4daIu,5,2
4GzPpcoO,6,1
lvk6AXc4,1,1
m4bD8931,1,1
aNbv2FKz,7,1
9LXn56Wc,2,1
DespubFL,5,1
VU4w2OsX,1,1
bTIt6jKw,4,2
YWHxGwF7,7,1
vuZJlo9t,4,1
by7gMAYd,4,1
yhQIL2A8,1,1
YSjNQc8x,2,1
r8mobE1L,1,1
2s4LhT6Y,1,1
VkoyqUap,7,1
xKqAQkHs,2,2
J4FXngaj,6,1
cWEFRXKY,1,1
ykmPclbu,5,1
ZyJQMsIL,5,2
1mWf0xVz,3,2
7kogZXnz,1,1
yfDL6aJS,1,1
